design,id,cost,closnesscentrality,betweenesscentrality,modularity_class,outdegree
47,1,44.16,1,4.60659163,2,499
190,2,107.64,1,8.183205056,1,499
275,3,107.64,1,6.858446851,1,499
488,4,66.24,1,6.326959733,1,499
632,5,79.488,1,7.680632547,1,499
635,6,107.64,1,8.337777222,1,499
924,7,52.992,1,6.766125308,1,499
1176,8,71.76,1,7.307421659,1,499
1199,9,55.2,1,8.109758771,1,499
1253,10,35.328,1,7.354409772,1,499
1306,11,57.408,1,8.224244113,1,499
1337,12,107.64,0.998,8.786820485,1,498
1379,13,89.7,1,8.528587675,1,499
1413,14,129.17,0.998,8.443897442,1,498
1465,15,52.992,1,7.651151663,1,499
1467,16,79.488,0.996007984,7.587138048,1,497
1548,17,66.24,0.994023904,8.134319509,1,496
1741,18,66.24,1,7.107958313,1,499
1765,19,55.2,1,7.253678476,1,499
1894,20,66.24,1,5.856586602,1,499
2037,21,35.328,1,7.314183236,1,499
2161,22,107.64,1,7.724950203,1,499
2213,23,55.2,1,8.061130204,1,499
2446,24,57.408,1,7.068165442,1,499
2452,25,86.112,1,6.888648543,1,499
2481,26,35.328,1,6.404770808,1,499
2789,27,79.488,1,7.284677793,1,499
2823,28,35.328,1,7.113751531,1,499
2931,29,44.16,0.998,7.630356114,1,498
3112,30,107.64,0.984220907,8.600991503,1,491
3116,31,44.16,0.988118812,8.24824664,1,493
3207,32,52.992,0.988118812,7.876777259,1,493
3328,33,131.75,1,8.707986853,1,499
3424,34,81.078,1,7.156115706,1,499
3439,35,67.565,1,7.719762942,1,499
3464,36,67.565,1,7.76855114,1,499
3508,37,67.565,1,4.463088498,1,499
3726,38,67.565,0.998,7.76855114,1,498
3738,39,131.75,1,8.645754869,1,499
3866,40,131.75,0.998,8.468367878,1,498
3957,41,87.834,1,8.463951149,1,499
3968,42,81.078,0.996007984,8.428365183,1,497
3985,43,67.565,0.996007984,7.90658914,1,497
4001,44,56.304,0.996007984,8.259399409,1,497
4050,45,81.078,0.959615385,7.424551002,1,478
4333,46,109.79,1,6.847264378,1,499
4357,47,91.494,1,8.617306814,1,499
4375,48,91.494,1,7.431869448,1,499
4380,49,36.035,1,6.684410504,1,499
4421,50,87.834,1,7.052492239,1,499
4559,51,67.565,0.994023904,7.994645409,1,496
4562,52,81.078,0.994023904,7.981621407,1,496
4817,53,56.304,0.992047714,8.473350605,1,495
4882,54,58.556,1,7.249091814,1,499
4898,55,67.565,1,6.128902579,1,499
4948,56,131.75,1,8.807468169,1,499
5059,57,87.834,1,7.905504587,1,499
5210,58,81.078,1,8.138241746,1,499
5252,59,81.078,0.996007984,8.012173651,1,497
5329,60,73.195,1,9.089732992,1,499
5414,61,67.565,0.996007984,8.229229256,1,497
5463,62,67.565,0.994023904,7.917769879,1,496
5582,63,81.078,0.976516634,8.182833133,1,487
5602,64,56.304,0.992047714,8.388403535,1,495
5687,65,73.195,1,7.494686422,1,499
5821,66,45.043,1,8.373639286,1,499
5947,67,36.035,1,6.859975148,1,499
5971,68,87.834,0.998,8.21296098,1,498
6125,69,45.043,1,8.498402263,1,499
6148,70,45.043,0.996007984,8.302561137,1,497
6251,71,54.052,0.996007984,7.939856838,1,497
6265,72,67.565,0.990079365,8.612935602,1,494
6304,73,54.052,0.998,8.977106764,1,498
6416,74,109.79,0.968932039,8.145689371,1,483
6466,75,131.75,0.936210131,7.099712919,1,465
6625,76,52.992,1,8.321992294,1,499
6653,77,66.24,0.996007984,7.396301505,1,497
6671,78,52.992,0.998,7.788775776,1,498
6796,79,55.2,0.998,8.248169744,1,498
6858,80,52.992,0.994023904,8.391872991,1,496
6889,81,129.17,0.990079365,8.448931015,0,494
6933,82,129.17,0.974609375,8.279285401,0,486
7003,83,52.992,1,7.465423259,1,499
7020,84,89.7,1,8.315268039,1,499
7023,85,107.64,1,7.431956077,1,499
7113,86,55.2,1,8.996589765,1,499
7215,87,52.992,0.998,8.622227863,1,498
7308,88,79.488,0.992047714,7.940076815,1,495
7334,89,79.488,0.988118812,7.796414639,1,493
7460,90,44.16,1,6.993811149,1,499
7504,91,52.992,1,7.238295259,1,499
7528,92,55.2,1,8.998633299,1,499
7545,93,107.64,1,8.20221721,1,499
7582,94,129.17,0.996007984,8.478722169,0,497
7666,95,129.17,0.992047714,8.853581494,0,495
7740,96,107.64,0.996007984,9.033461902,0,497
7752,97,66.24,0.994023904,7.866733288,1,496
7812,98,107.64,0.986166008,8.734840719,0,492
7832,99,107.64,0.986166008,8.456909665,0,492
7866,100,44.16,0.990079365,8.275714795,0,494
7990,101,107.64,0.994023904,8.459215124,1,496
8065,102,52.992,0.990079365,7.603508248,1,494
8115,103,52.992,0.996007984,8.111642679,1,497
8128,104,86.112,0.994023904,8.845983982,1,496
8522,105,109.79,0.998,8.886155385,0,498
8571,106,87.834,1,8.463192715,1,499
9097,107,67.565,0.998,8.366635398,1,498
9182,108,56.304,0.988118812,8.663020776,1,493
9191,109,45.043,0.994023904,8.418954541,1,496
9268,110,67.565,0.982283465,7.92034722,0,490
9279,111,54.052,0.996007984,8.792493861,1,497
9340,112,109.79,0.934456929,7.156673501,0,464
9394,113,81.078,0.998,7.683394548,1,498
9456,114,54.052,1,8.260185577,1,499
9501,115,54.052,0.998,7.858317599,1,498
9632,116,81.078,0.976516634,8.341653881,0,487
9691,117,67.565,0.990079365,8.462848784,0,494
9734,118,67.565,0.980353635,7.962967496,0,489
9842,119,131.75,0.988118812,8.482065501,0,493
9843,120,45.043,0.996007984,8.232092379,1,497
9844,121,54.052,0.996007984,7.637004749,1,497
9875,122,67.565,0.996007984,8.49076871,1,497
9915,123,67.565,0.992047714,8.635444149,1,495
9963,124,87.834,0.988118812,8.439484919,1,493
9990,125,56.304,0.996007984,9.008529836,1,497
10300,126,107.64,1,7.653416931,1,499
10330,127,89.7,1,7.978920463,1,499
10432,128,35.328,1,6.794386671,1,499
10453,129,44.16,0.998,6.450496208,1,498
10465,130,44.16,0.994023904,8.141069484,1,496
10520,131,44.16,1,3.890986323,1,499
10564,132,52.992,1,5.211168614,1,499
10587,133,66.24,1,5.819344843,1,499
10661,134,89.7,1,7.547497314,1,499
10696,135,44.16,0.998,6.146403231,1,498
10743,136,52.992,1,6.147606527,1,499
10757,137,44.16,0.996007984,6.980204033,1,497
10768,138,129.17,1,9.007333611,0,499
10788,139,89.7,1,7.470314517,1,499
10822,140,107.64,1,7.373855507,1,499
10883,141,44.16,0.998,7.613932264,1,498
10932,142,52.992,0.992047714,7.62681617,1,495
11038,143,66.24,0.986166008,7.803629016,0,492
11040,144,66.24,0.980353635,6.868084933,0,489
11324,145,55.2,0.994023904,8.534725945,1,496
11360,146,71.76,1,7.411155083,1,499
11425,147,44.16,0.998,5.716270164,1,498
11528,148,44.16,0.998,7.406244382,1,498
11726,149,107.64,0.990079365,8.80264376,0,494
11794,150,79.488,0.990079365,8.121657773,0,494
11859,151,107.64,0.982283465,8.351108856,0,490
11915,152,79.488,1,6.828388892,1,499
11978,153,44.16,1,6.235717835,1,499
12156,154,86.112,1,7.502531985,1,499
12171,155,79.488,0.998,6.828388892,1,498
12358,156,79.488,0.992047714,7.482642031,1,495
12367,157,55.2,0.996007984,7.681012951,1,497
12568,158,44.16,0.984220907,7.653154135,1,491
12763,159,71.76,1,8.568903814,1,499
12767,160,107.64,1,8.050969446,1,499
12829,161,79.488,1,7.272035686,1,499
13009,162,86.112,1,7.163394667,1,499
13078,163,129.17,0.996007984,8.713539435,0,497
13111,164,129.17,0.990079365,8.484850197,0,494
13229,165,107.64,0.996007984,8.925727304,0,497
13339,166,107.64,0.984220907,8.682201907,0,491
13709,167,67.565,0.996007984,7.777380105,1,497
13758,168,45.043,1,4.987219172,1,499
13830,169,91.494,0.998,8.268400294,1,498
13855,170,58.556,1,7.375149179,1,499
13927,171,81.078,0.998,8.357196394,0,498
13964,172,109.79,1,8.545670151,0,499
13994,173,131.75,0.998,8.59231569,0,498
14107,174,109.79,0.994023904,8.890364231,0,496
14131,175,109.79,1,8.794095489,0,499
14358,176,36.035,1,6.267654628,1,499
14367,177,58.556,1,7.051924361,1,499
14388,178,87.834,1,7.22601634,1,499
14397,179,109.79,1,8.996964595,0,499
14426,180,81.078,1,7.652488632,1,499
14488,181,36.035,0.998,8.075273288,1,498
15074,182,67.565,0.980353635,7.590019832,0,489
15117,183,109.79,0.972709552,8.026487198,2,485
15134,184,67.565,1,6.250250543,1,499
15148,185,45.043,0.998,7.168342702,1,498
15278,186,56.304,0.998,7.998309,1,498
15436,187,81.078,1,7.075501453,1,499
15532,188,45.043,0.996007984,8.002984418,1,497
15607,189,54.052,0.998,7.453114297,1,498
15653,190,109.79,0.998,8.400109136,0,498
15779,191,67.565,0.978431373,7.871278863,0,488
15867,192,54.052,0.994023904,8.025906069,0,496
15989,193,109.79,1,8.645754869,0,499
16038,194,67.565,0.998,7.442678103,1,498
16091,195,45.043,0.998,8.741821991,1,498
16226,196,109.79,0.994023904,8.655754663,0,496
16379,197,45.043,0.988118812,8.544268183,1,493
16401,198,109.79,0.980353635,8.417749423,0,489
16484,199,73.195,0.998,8.617535176,0,498
16570,200,54.052,0.998,8.20960186,0,498
16722,201,131.75,0.908925319,6.498997981,2,449
16767,202,55.2,0.998,8.148872238,1,498
17072,203,52.992,0.994023904,7.405330534,0,496
17099,204,66.24,0.990079365,7.509059467,0,494
17118,205,129.17,0.967054264,8.195495983,2,482
17138,206,55.2,0.994023904,8.164059804,0,496
17302,207,86.112,1,8.395940782,0,499
17346,208,86.112,1,8.401207279,0,499
17348,209,89.7,0.998,8.420861627,0,498
17372,210,66.24,0.996007984,8.459625101,0,497
17401,211,71.76,0.998,8.950430561,0,498
17408,212,55.2,0.986166008,8.379490209,0,492
17446,213,129.17,0.978431373,8.597276284,2,488
17465,214,79.488,0.996007984,7.777901611,0,497
17569,215,129.17,0.976516634,8.343378207,2,487
17649,216,79.488,0.988118812,7.435093497,2,493
17698,217,66.24,0.959615385,7.178978061,2,478
17708,218,107.64,0.927509294,7.139058986,2,460
17738,219,79.488,0.996007984,7.628570684,0,497
17874,220,107.64,0.994023904,8.803593392,2,496
17881,221,55.2,0.990079365,7.419692315,0,494
17999,222,66.24,0.990079365,7.902493495,0,494
18004,223,44.16,0.992047714,8.133090024,0,495
18054,224,79.488,0.939736347,6.771179559,2,467
18160,225,129.17,0.929236499,6.662265566,2,461
18280,226,52.992,0.996007984,7.638074829,0,497
18329,227,89.7,0.994023904,8.993017794,0,496
18466,228,89.7,0.988118812,8.835779099,2,493
18483,229,66.24,0.974609375,7.993195198,2,486
18499,230,66.24,0.955938697,7.149710127,0,476
18617,231,66.24,0.875438596,5.896515225,2,428
18765,232,91.494,0.994023904,8.76936366,0,496
18819,233,54.052,0.994023904,8.024294084,0,496
18824,234,81.078,0.994023904,8.193272461,0,496
18901,235,54.052,1,8.958346184,0,499
18909,236,67.565,0.998,8.154574406,0,498
18972,237,67.565,0.976516634,7.920912556,0,487
19256,238,109.79,0.998,8.60047732,2,498
19319,239,56.304,0.994023904,8.629488807,0,496
19319,240,56.304,0.994023904,8.629488807,0,496
19326,241,87.834,0.992047714,8.650017268,0,495
19337,242,54.052,0.996007984,8.544806372,0,497
19416,243,131.75,0.961464355,8.198444795,2,479
19424,244,91.494,0.990079365,8.894084148,2,494
19688,245,87.834,1,8.323028641,0,499
19774,246,73.195,0.998,9.100352411,0,498
19912,247,56.304,0.978431373,8.311648627,2,488
19970,248,109.79,0.978431373,8.014064223,2,488
20045,249,67.565,0.929236499,6.372098629,2,461
20057,250,36.035,1,7.97306433,1,499
20071,251,87.834,0.998,7.967418434,0,498
20089,252,45.043,0.996007984,8.689179272,1,497
20092,253,54.052,1,8.485414771,0,499
20098,254,131.75,0.976516634,8.188847319,2,487
20137,255,56.304,0.998,8.699688887,0,498
20273,256,109.79,0.941509434,7.798793796,2,468
20445,257,67.565,0.937969925,6.811676553,2,466
20513,258,35.328,1,4.073021979,1,499
20531,259,35.328,0.998,5.272247124,1,498
20756,260,79.488,1,7.628614786,0,499
20834,261,107.64,1,6.546097381,0,499
20861,262,129.17,0.998,8.444193223,2,498
20954,263,66.24,0.998,6.758610814,0,498
21056,264,86.112,1,7.742859263,0,499
21253,265,129.17,0.976516634,8.463715684,2,487
21275,266,52.992,0.994023904,7.291084191,0,496
21379,267,66.24,1,6.497639528,1,499
21400,268,79.488,1,7.419156131,0,499
21615,269,79.488,1,6.879471005,0,499
21626,270,52.992,1,6.669106079,1,499
21683,271,66.24,1,6.609923843,1,499
21775,272,71.76,1,8.201066172,0,499
21778,273,89.7,1,8.46937015,0,499
21797,274,129.17,0.996007984,8.833335384,2,497
21859,275,71.76,1,8.043011682,0,499
22085,276,66.24,0.972709552,7.374800833,2,485
22117,277,66.24,0.952290076,7.018729547,2,474
22423,278,55.2,1,6.457525011,1,499
22432,279,107.64,1,7.814359034,0,499
22435,280,44.16,0.998,7.339013544,1,498
22440,281,79.488,0.998,7.096109887,0,498
22449,282,44.16,1,5.933959217,1,499
22476,283,86.112,1,7.899862814,0,499
22552,284,44.16,0.998,7.239244442,0,498
22557,285,79.488,0.994023904,7.288221319,0,496
22570,286,79.488,0.988118812,7.199708986,0,493
23023,287,107.64,0.998,8.105122761,0,498
23294,288,44.16,1,7.481480578,1,499
23335,289,35.328,0.996007984,7.489323072,1,497
23597,290,107.64,0.984220907,8.487453309,2,491
23638,291,52.992,0.978431373,7.828128882,0,488
23659,292,66.24,0.978431373,7.503139344,2,488
23733,293,79.488,0.851535836,4.712824912,2,412
23782,294,109.79,1,8.241947688,0,499
23916,295,54.052,0.996007984,8.520406707,0,497
23961,296,45.043,0.998,8.200404904,0,498
24010,297,87.834,0.998,8.933934361,0,498
24010,298,87.834,0.998,8.933934361,0,498
24083,299,67.565,1,6.693073006,0,499
24184,300,91.494,0.998,9.009085419,0,498
24383,301,67.565,0.988118812,7.902800039,0,493
24405,302,91.494,0.994023904,8.911668748,2,496
24554,303,67.565,0.974609375,7.301847655,2,486
24696,304,87.834,1,8.492231494,0,499
24703,305,56.304,1,8.513288845,0,499
24731,306,131.75,0.996007984,8.463803098,2,497
24914,307,109.79,0.996007984,8.655923464,2,497
24918,308,36.035,1,7.393468947,1,499
25019,309,109.79,0.996007984,8.686922387,2,497
25064,310,87.834,0.998,8.033804357,0,498
25167,311,56.304,0.996007984,8.436525258,0,497
25273,312,67.565,0.990079365,7.961496548,2,494
25316,313,109.79,0.980353635,8.420213814,2,489
25339,314,54.052,0.986166008,8.0246866,2,492
25519,315,67.565,0.998,6.681825047,0,498
25536,316,54.052,1,7.092890906,0,499
25601,317,45.043,0.994023904,7.675221765,0,496
25665,318,81.078,1,7.344944077,0,499
25762,319,54.052,1,7.415495853,0,499
25942,320,109.79,0.996007984,8.319954173,2,497
26083,321,87.834,0.996007984,8.156313301,2,497
26161,322,67.565,0.941509434,6.338530498,2,468
26195,323,81.078,1,6.93264609,0,499
26433,324,67.565,0.972709552,8.027493105,0,485
26438,325,87.834,0.976516634,8.66381689,2,487
26451,326,73.195,1,7.724248737,0,499
26514,327,91.494,0.996007984,8.824592313,0,497
26568,328,87.834,0.994023904,8.549969434,0,496
26573,329,54.052,0.996007984,7.406087045,0,497
26624,330,81.078,0.992047714,7.984120583,0,495
26629,331,91.494,0.994023904,8.90072251,2,496
26820,332,109.79,0.955938697,7.937224101,2,476
26833,333,109.79,0.963320463,8.033742863,2,480
26848,334,81.078,0.905626134,6.033123435,2,447
26875,335,67.565,0.948669202,7.009753355,2,472
26890,336,67.565,0.976516634,7.641275732,2,487
26901,337,67.565,0.978431373,7.441945618,2,488
26947,338,109.79,0.917279412,6.810341303,2,454
27060,339,129.17,0.998,8.464770488,2,498
27156,340,86.112,1,8.130930988,2,499
27158,341,129.17,0.996007984,8.489193918,2,497
27336,342,44.16,0.986166008,8.237358729,2,492
27344,343,129.17,0.967054264,8.421916045,2,482
27397,344,66.24,0.984220907,7.003539044,2,491
27452,345,107.64,0.974609375,7.958420845,2,486
27560,346,129.17,0.986166008,8.450166875,2,492
27705,347,44.16,0.998,8.148702957,0,498
27737,348,52.992,0.998,7.957568087,0,498
27844,349,52.992,0.986166008,7.334172028,2,492
27856,350,86.112,0.976516634,8.544945227,2,487
27861,351,66.24,0.95047619,6.940042786,2,473
27884,352,55.2,0.988118812,8.024409843,2,493
27885,353,66.24,0.982283465,7.836555682,2,490
27977,354,79.488,1,7.096773547,2,499
28034,355,89.7,0.998,8.849948313,2,498
28174,356,89.7,0.992047714,8.966285883,2,495
28274,357,52.992,0.988118812,7.665063581,2,493
28505,358,55.2,0.998,7.838122133,0,498
28517,359,66.24,0.984220907,7.030430902,0,491
28551,360,35.328,0.986166008,7.919735744,0,492
28639,361,79.488,0.930970149,6.046079859,2,462
28665,362,66.24,0.974609375,7.909516763,2,486
28679,363,86.112,0.994023904,8.356166506,2,496
28712,364,79.488,0.930970149,6.069440795,2,462
28762,365,55.2,0.93271028,7.081049126,2,463
28965,366,67.565,0.998,7.881108148,0,498
29098,367,67.565,0.978431373,8.218452892,2,488
29101,368,81.078,0.974609375,7.850001429,2,486
29177,369,109.79,0.992047714,8.828707911,2,495
29238,370,67.565,0.967054264,7.220640658,2,482
29334,371,81.078,0.91559633,6.390846849,2,453
29470,372,87.834,0.996007984,8.393171892,2,497
29588,373,67.565,0.980353635,8.243705337,2,489
29609,374,67.565,0.992047714,8.582304538,2,495
29637,375,54.052,0.996007984,8.468474507,2,497
29958,376,56.304,0.992047714,8.508556132,2,495
29961,377,67.565,0.990079365,8.305615248,2,494
30018,378,109.79,0.990079365,8.753908615,2,494
30270,379,67.565,0.955938697,6.866339695,2,476
30293,380,67.565,0.897482014,5.748317384,2,442
30486,381,73.195,0.988118812,8.842837939,2,493
30525,382,54.052,0.972709552,8.300121418,2,485
30550,383,109.79,0.970817121,8.037074041,2,484
30692,384,131.75,0.851535836,5.588953916,2,412
30820,385,52.992,1,5.027916279,0,499
30921,386,55.2,1,7.589893063,2,499
30960,387,107.64,0.996007984,7.666460669,2,497
31063,388,44.16,0.998,7.291620016,0,498
31086,389,71.76,1,7.530884255,2,499
31404,390,129.17,0.986166008,8.551445082,2,492
31405,391,55.2,0.994023904,8.669621228,2,496
31595,392,71.76,1,7.070508328,2,499
31600,393,86.112,1,6.771672734,2,499
31790,394,86.112,0.998,8.334603423,2,498
31823,395,44.16,0.996007984,7.165292462,0,497
31950,396,107.64,1,7.783452032,2,499
31960,397,71.76,0.998,9.037268104,0,498
31965,398,129.17,0.998,8.835505908,2,498
32008,399,129.17,0.992047714,8.277657395,2,495
32009,400,52.992,0.996007984,8.259842216,2,497
32020,401,129.17,0.986166008,8.507360556,2,492
32193,402,66.24,0.992047714,8.095353421,2,495
32500,403,89.7,1,8.262061692,2,499
32585,404,71.76,0.998,8.448251674,2,498
32607,405,66.24,0.986166008,8.053800998,2,492
32622,406,66.24,0.998,7.849049238,2,498
32663,407,52.992,1,5.423826482,0,499
32822,408,55.2,0.988118812,8.473138675,2,493
32831,409,129.17,0.976516634,8.360300866,2,487
32833,410,44.16,0.998,7.870299607,0,498
32861,411,107.64,0.986166008,8.755369547,2,492
32957,412,89.7,0.998,8.705391038,2,498
33044,413,79.488,0.972709552,6.574620381,2,485
33294,414,44.16,0.998,7.395890024,0,498
33405,415,107.64,0.984220907,8.697188875,2,491
33423,416,55.2,0.994023904,7.775383167,2,496
33529,417,66.24,0.996007984,7.015469584,2,497
33539,418,44.16,0.994023904,7.873707342,0,496
33542,419,52.992,0.996007984,7.414374669,2,497
33548,420,129.17,0.988118812,8.373641101,2,493
33564,421,86.112,0.996007984,7.695584655,2,497
33639,422,44.16,0.994023904,7.23754586,2,496
33689,423,71.76,0.994023904,8.554064037,2,496
33782,424,129.17,0.94686907,7.648883017,2,471
33819,425,89.7,0.982283465,8.129486189,2,490
33858,426,52.992,0.974609375,6.792133032,2,486
33878,427,79.488,0.959615385,6.247270019,2,478
34084,428,87.834,1,7.590628435,2,499
34107,429,73.195,1,8.182919063,2,499
34170,430,109.79,0.992047714,7.931600813,2,495
34490,431,45.043,0.996007984,8.0357893,2,497
34539,432,73.195,0.998,8.10539432,2,498
34637,433,67.565,0.994023904,8.153206962,2,496
34640,434,81.078,0.984220907,7.277017341,2,491
34835,435,73.195,0.998,7.334857172,2,498
34995,436,91.494,0.990079365,8.832894111,2,494
35097,437,73.195,1,7.438849755,2,499
35258,438,87.834,0.996007984,8.672880223,2,497
35637,439,54.052,0.936210131,6.750332898,2,465
35662,440,45.043,1,7.275141834,2,499
35911,441,109.79,1,7.745832916,2,499
35935,442,91.494,1,8.743747847,2,499
36087,443,131.75,0.974609375,7.991827438,2,486
36178,444,131.75,0.968932039,7.716680534,2,483
36313,445,91.494,0.961464355,8.287701304,2,479
36368,446,81.078,0.917279412,6.016000462,2,454
36548,447,45.043,0.994023904,7.61629775,2,496
36549,448,56.304,1,8.061438527,2,499
36924,449,58.556,0.990079365,8.559620429,2,494
37033,450,67.565,0.967054264,7.858654525,2,482
37074,451,81.078,0.924074074,6.855861266,2,458
37115,452,91.494,0.952290076,8.123697793,2,474
37122,453,67.565,0.910583942,6.81297902,2,450
37159,454,87.834,0.967054264,7.744456087,2,482
37180,455,67.565,0.930970149,6.482488447,2,462
37358,456,44.16,0.994023904,7.596637961,2,496
37467,457,107.64,0.968932039,8.181847615,2,483
37469,458,44.16,0.994023904,7.650555285,2,496
37470,459,52.992,0.996007984,7.606218423,2,497
37567,460,66.24,0.978431373,7.043826296,2,488
37578,461,107.64,0.963320463,8.013618544,2,480
37627,462,66.24,0.941509434,6.721852515,2,468
37636,463,79.488,0.982283465,7.124268668,2,490
37756,464,44.16,0.998,7.354171616,2,498
37881,465,55.2,0.988118812,8.62059734,2,493
38105,466,107.64,0.95047619,7.736319244,2,473
38122,467,55.2,0.990079365,7.893221701,2,494
38127,468,86.112,0.986166008,8.187466165,2,492
38316,469,55.2,0.994023904,7.311184941,2,496
38317,470,66.24,0.980353635,6.993411795,2,489
38522,471,89.7,0.968932039,8.269856216,2,483
38647,472,107.64,0.857388316,5.279286515,1,416
38675,473,79.488,0.756060606,3.777926824,1,338
38711,474,107.64,0.992047714,7.993176997,2,495
38759,475,129.17,0.954110899,7.920900568,2,475
38775,476,66.24,0.994023904,7.934528182,2,496
38982,477,129.17,0.945075758,7.312584926,2,470
39040,478,79.488,0.792063492,4.196072369,1,368
39224,479,81.078,0.996007984,7.935315551,2,497
39267,480,36.035,0.996007984,8.01009997,2,497
39281,481,131.75,0.974609375,8.056319311,2,486
39288,482,109.79,0.978431373,8.569247709,2,488
39354,483,67.565,0.959615385,7.917421524,2,478
39362,484,45.043,0.998,8.442243625,2,498
39373,485,45.043,0.992047714,8.21812779,2,495
39461,486,131.75,0.936210131,7.541977179,2,465
39510,487,67.565,0.95047619,6.847422409,2,473
39584,488,54.052,0.948669202,7.148154155,2,472
39738,489,45.043,0.992047714,8.202643399,2,495
39818,490,131.75,0.913919414,7.363740101,2,452
39915,491,56.304,0.988118812,8.215908419,2,493
40149,492,67.565,0.992047714,8.265523702,2,495
40193,493,56.304,1,8.318017119,2,499
40271,494,81.078,0.965183752,7.218573415,2,481
40313,495,56.304,0.952290076,7.602494244,2,474
40329,496,109.79,0.892665474,7.038428239,2,439
40370,497,56.304,0.982283465,8.068800379,2,490
40531,498,67.565,0.842905405,5.246017873,1,406
40865,499,81.078,0.948669202,7.261605382,2,472
40986,500,131.75,0.831666667,4.929362658,1,398
