,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
129,0,12.178,18.402,27.738,46.41,102.43,320.27,942.67,75.053,87.354,93.93,103.79,123.52,182.71,412.87,1070.5,321.4,333.58,339.8,349.14,367.81,423.83,641.67,1264.1,396.45,408.75,415.33,425.19,444.92,504.11,734.27,1391.9,1027.6,1043.8,1053.1,1071.8,1127.8,1345.7,1968.1,2590.5,1102.8,1119.3,1129.2,1148.9,1208.1,1438.3,2095.9,2753.5,1731.6,1747.8,1757.1,1775.8,1831.8,2049.7,2672.1,3294.5,1806.8,1823.3,1833.2,1852.9,1912.1,2142.3,2799.9,3457.5
130,10,0,16.224,25.56,44.232,100.25,318.09,940.49,85.053,75.176,91.752,101.62,121.34,180.53,410.69,1068.3,331.4,321.4,337.62,346.96,365.63,421.65,639.49,1261.9,406.45,396.58,413.15,423.02,442.74,501.93,732.09,1389.7,1037.6,1031.6,1051,1069.6,1125.6,1343.5,1965.9,2588.3,1112.8,1107.2,1127,1146.7,1205.9,1436.1,2093.7,2751.3,1741.6,1735.6,1755,1773.6,1829.6,2047.5,2669.9,3292.3,1816.8,1811.2,1831,1850.7,1909.9,2140.1,2797.7,3455.3
131,10,10,0,19.336,38.008,94.024,311.86,934.26,85.053,85.176,75.528,95.392,115.12,174.3,404.46,1062.1,331.4,331.4,321.4,340.74,359.41,415.42,633.26,1255.7,406.45,406.58,396.93,416.79,436.52,495.7,725.86,1383.5,1037.6,1041.6,1034.7,1063.4,1119.4,1337.3,1959.7,2582.1,1112.8,1117.2,1110.8,1140.5,1199.7,1429.9,2087.5,2745.1,1741.6,1745.6,1738.7,1767.4,1823.4,2041.3,2663.7,3286.1,1816.8,1821.2,1814.8,1844.5,1903.7,2133.9,2791.5,3449.1
132,10,10,10,0,28.672,84.688,302.53,924.93,85.053,85.176,85.528,76.056,105.78,164.97,395.13,1052.7,331.4,331.4,331.4,321.4,350.07,406.09,623.93,1246.3,406.45,406.58,406.93,397.46,427.18,486.37,716.53,1374.1,1037.6,1041.6,1044.7,1044.1,1110.1,1327.9,1950.3,2572.7,1112.8,1117.2,1120.8,1121.2,1190.4,1420.5,2078.1,2735.7,1741.6,1745.6,1748.7,1748.1,1814.1,2031.9,2654.3,3276.7,1816.8,1821.2,1824.8,1825.2,1894.4,2124.5,2782.1,3439.7
133,10,10,10,10,0,66.016,283.86,906.26,85.053,85.176,85.528,86.056,77.112,146.3,376.46,1034.1,331.4,331.4,331.4,331.4,321.4,387.42,605.26,1227.7,406.45,406.58,406.93,407.46,398.51,467.7,697.86,1355.5,1037.6,1041.6,1044.7,1054.1,1081.4,1309.3,1931.7,2554.1,1112.8,1117.2,1120.8,1131.2,1161.7,1401.9,2059.5,2717.1,1741.6,1745.6,1748.7,1758.1,1785.4,2013.3,2635.7,3258.1,1816.8,1821.2,1824.8,1835.2,1865.7,2105.9,2763.5,3421.1
134,10,10,10,10,10,0,227.84,850.24,85.053,85.176,85.528,86.056,87.112,80.28,320.44,978.04,331.4,331.4,331.4,331.4,331.4,321.4,549.24,1171.6,406.45,406.58,406.93,407.46,408.51,401.68,641.84,1299.4,1037.6,1041.6,1044.7,1054.1,1091.4,1243.2,1875.6,2498,1112.8,1117.2,1120.8,1131.2,1171.7,1335.8,2003.4,2661,1741.6,1745.6,1748.7,1758.1,1795.4,1947.2,2579.6,3202,1816.8,1821.2,1824.8,1835.2,1875.7,2039.8,2707.4,3365
135,10,10,10,10,10,10,0,632.4,85.053,85.176,85.528,86.056,87.112,90.28,92.6,760.2,331.4,331.4,331.4,331.4,331.4,331.4,321.4,953.8,406.45,406.58,406.93,407.46,408.51,411.68,414,1081.6,1037.6,1041.6,1044.7,1054.1,1091.4,1253.2,1647.8,2280.2,1112.8,1117.2,1120.8,1131.2,1171.7,1345.8,1775.6,2443.2,1741.6,1745.6,1748.7,1758.1,1795.4,1957.2,2351.8,2984.2,1816.8,1821.2,1824.8,1835.2,1875.7,2049.8,2479.6,3147.2
136,10,10,10,10,10,10,10,0,85.053,85.176,85.528,86.056,87.112,90.28,102.6,127.8,331.4,331.4,331.4,331.4,331.4,331.4,331.4,321.4,406.45,406.58,406.93,407.46,408.51,411.68,424,449.2,1037.6,1041.6,1044.7,1054.1,1091.4,1253.2,1657.8,1647.8,1112.8,1117.2,1120.8,1131.2,1171.7,1345.8,1785.6,1810.8,1741.6,1745.6,1748.7,1758.1,1795.4,1957.2,2361.8,2351.8,1816.8,1821.2,1824.8,1835.2,1875.7,2049.8,2489.6,2514.8
137,75,87.178,93.402,102.74,121.41,177.43,395.27,1017.7,0,12.302,18.878,28.742,48.47,107.65,337.81,995.41,396.4,408.58,414.8,424.14,442.81,498.83,716.67,1339.1,321.4,333.7,340.28,350.14,369.87,429.05,659.21,1316.8,1102.6,1118.8,1128.1,1146.8,1202.8,1420.7,2043.1,2665.5,1027.7,1044.3,1054.1,1073.9,1133.1,1363.2,2020.8,2678.4,1806.6,1822.8,1832.1,1850.8,1906.8,2124.7,2747.1,3369.5,1731.7,1748.3,1758.1,1777.9,1837.1,2067.2,2724.8,3382.4
138,85,75,91.224,100.56,119.23,175.25,393.09,1015.5,10,0,16.576,26.44,46.168,105.35,335.51,993.11,406.4,396.4,412.62,421.96,440.63,496.65,714.49,1336.9,331.4,321.4,337.98,347.84,367.57,426.75,656.91,1314.5,1112.6,1106.6,1126,1144.6,1200.6,1418.5,2040.9,2663.3,1037.7,1032,1051.8,1071.6,1130.8,1360.9,2018.5,2676.1,1816.6,1810.6,1830,1848.6,1904.6,2122.5,2744.9,3367.3,1741.7,1736,1755.8,1775.6,1834.8,2064.9,2722.5,3380.1
139,85,85,75,94.336,113.01,169.02,386.86,1009.3,10,10,0,19.864,39.592,98.776,328.94,986.54,406.4,406.4,396.4,415.74,434.41,490.42,708.26,1330.7,331.4,331.4,321.4,341.26,360.99,420.18,650.34,1307.9,1112.6,1116.6,1109.7,1138.4,1194.4,1412.3,2034.7,2657.1,1037.7,1042,1035.3,1065,1124.2,1354.3,2011.9,2669.5,1816.6,1820.6,1813.7,1842.4,1898.4,2116.3,2738.7,3361.1,1741.7,1746,1739.3,1769,1828.2,2058.3,2715.9,3373.5
140,85,85,85,75,103.67,159.69,377.53,999.93,10,10,10,0,29.728,88.912,319.07,976.67,406.4,406.4,406.4,396.4,425.07,481.09,698.93,1321.3,331.4,331.4,331.4,321.4,351.13,410.31,640.47,1298.1,1112.6,1116.6,1119.7,1119.1,1185.1,1402.9,2025.3,2647.7,1037.7,1042,1045.3,1045.1,1114.3,1344.5,2002.1,2659.7,1816.6,1820.6,1823.7,1823.1,1889.1,2106.9,2729.3,3351.7,1741.7,1746,1749.3,1749.1,1818.3,2048.5,2706.1,3363.7
141,85,85,85,85,75,141.02,358.86,981.26,10,10,10,10,0,69.184,299.34,956.94,406.4,406.4,406.4,406.4,396.4,462.42,680.26,1302.7,331.4,331.4,331.4,331.4,321.4,390.58,620.74,1278.3,1112.6,1116.6,1119.7,1129.1,1156.4,1384.3,2006.7,2629.1,1037.7,1042,1045.3,1055.1,1084.6,1324.7,1982.3,2639.9,1816.6,1820.6,1823.7,1833.1,1860.4,2088.3,2710.7,3333.1,1741.7,1746,1749.3,1759.1,1788.6,2028.7,2686.3,3343.9
142,85,85,85,85,85,75,302.84,925.24,10,10,10,10,10,0,240.16,897.76,406.4,406.4,406.4,406.4,406.4,396.4,624.24,1246.6,331.4,331.4,331.4,331.4,331.4,321.4,561.56,1219.2,1112.6,1116.6,1119.7,1129.1,1166.4,1318.2,1950.6,2573,1037.7,1042,1045.3,1055.1,1094.6,1255.6,1923.2,2580.8,1816.6,1820.6,1823.7,1833.1,1870.4,2022.2,2654.6,3277,1741.7,1746,1749.3,1759.1,1798.6,1959.6,2627.2,3284.8
143,85,85,85,85,85,85,75,707.4,10,10,10,10,10,10,0,667.6,406.4,406.4,406.4,406.4,406.4,406.4,396.4,1028.8,331.4,331.4,331.4,331.4,331.4,331.4,321.4,989,1112.6,1116.6,1119.7,1129.1,1166.4,1328.2,1722.8,2355.2,1037.7,1042,1045.3,1055.1,1094.6,1265.6,1683,2350.6,1816.6,1820.6,1823.7,1833.1,1870.4,2032.2,2426.8,3059.2,1741.7,1746,1749.3,1759.1,1798.6,1969.6,2387,3054.6
144,85,85,85,85,85,85,85,75,10,10,10,10,10,10,10,0,406.4,406.4,406.4,406.4,406.4,406.4,406.4,396.4,331.4,331.4,331.4,331.4,331.4,331.4,331.4,321.4,1112.6,1116.6,1119.7,1129.1,1166.4,1328.2,1732.8,1722.8,1037.7,1042,1045.3,1055.1,1094.6,1265.6,1693,1683,1816.6,1820.6,1823.7,1833.1,1870.4,2032.2,2436.8,2426.8,1741.7,1746,1749.3,1759.1,1798.6,1969.6,2397,2387
161,75,87.178,93.402,102.74,121.41,177.43,395.27,1017.7,150.05,162.35,168.93,178.79,198.52,257.71,487.87,1145.5,0,12.178,18.402,27.738,46.41,102.43,320.27,942.67,75.053,87.354,93.93,103.79,123.52,182.71,412.87,1070.5,781.18,797.4,806.74,825.41,881.43,1099.3,1721.7,2344.1,856.35,872.93,882.79,902.52,961.71,1191.9,1849.5,2507.1,1485.2,1501.4,1510.7,1529.4,1585.4,1803.3,2425.7,3048.1,1560.4,1576.9,1586.8,1606.5,1665.7,1895.9,2553.5,3211.1
162,85,75,91.224,100.56,119.23,175.25,393.09,1015.5,160.05,150.18,166.75,176.62,196.34,255.53,485.69,1143.3,10,0,16.224,25.56,44.232,100.25,318.09,940.49,85.053,75.176,91.752,101.62,121.34,180.53,410.69,1068.3,791.18,785.22,804.56,823.23,879.25,1097.1,1719.5,2341.9,866.35,860.75,880.62,900.34,959.53,1189.7,1847.3,2504.9,1495.2,1489.2,1508.6,1527.2,1583.2,1801.1,2423.5,3045.9,1570.4,1564.8,1584.6,1604.3,1663.5,1893.7,2551.3,3208.9
163,85,85,75,94.336,113.01,169.02,386.86,1009.3,160.05,160.18,150.53,170.39,190.12,249.3,479.46,1137.1,10,10,0,19.336,38.008,94.024,311.86,934.26,85.053,85.176,75.528,95.392,115.12,174.3,404.46,1062.1,791.18,795.22,788.34,817.01,873.02,1090.9,1713.3,2335.7,866.35,870.75,864.39,894.12,953.3,1183.5,1841.1,2498.7,1495.2,1499.2,1492.3,1521,1577,1794.9,2417.3,3039.7,1570.4,1574.8,1568.4,1598.1,1657.3,1887.5,2545.1,3202.7
164,85,85,85,75,103.67,159.69,377.53,999.93,160.05,160.18,160.53,151.06,180.78,239.97,470.13,1127.7,10,10,10,0,28.672,84.688,302.53,924.93,85.053,85.176,85.528,76.056,105.78,164.97,395.13,1052.7,791.18,795.22,798.34,797.67,863.69,1081.5,1703.9,2326.3,866.35,870.75,874.39,874.78,943.97,1174.1,1831.7,2489.3,1495.2,1499.2,1502.3,1501.7,1567.7,1785.5,2407.9,3030.3,1570.4,1574.8,1578.4,1578.8,1648,1878.1,2535.7,3193.3
165,85,85,85,85,75,141.02,358.86,981.26,160.05,160.18,160.53,161.06,152.11,221.3,451.46,1109.1,10,10,10,10,0,66.016,283.86,906.26,85.053,85.176,85.528,86.056,77.112,146.3,376.46,1034.1,791.18,795.22,798.34,807.67,835.02,1062.9,1685.3,2307.7,866.35,870.75,874.39,884.78,915.3,1155.5,1813.1,2470.7,1495.2,1499.2,1502.3,1511.7,1539,1766.9,2389.3,3011.7,1570.4,1574.8,1578.4,1588.8,1619.3,1859.5,2517.1,3174.7
166,85,85,85,85,85,75,302.84,925.24,160.05,160.18,160.53,161.06,162.11,155.28,395.44,1053,10,10,10,10,10,0,227.84,850.24,85.053,85.176,85.528,86.056,87.112,80.28,320.44,978.04,791.18,795.22,798.34,807.67,845.02,996.84,1629.2,2251.6,866.35,870.75,874.39,884.78,925.3,1089.4,1757,2414.6,1495.2,1499.2,1502.3,1511.7,1549,1700.8,2333.2,2955.6,1570.4,1574.8,1578.4,1588.8,1629.3,1793.4,2461,3118.6
167,85,85,85,85,85,85,75,707.4,160.05,160.18,160.53,161.06,162.11,165.28,167.6,835.2,10,10,10,10,10,10,0,632.4,85.053,85.176,85.528,86.056,87.112,90.28,92.6,760.2,791.18,795.22,798.34,807.67,845.02,1006.8,1401.4,2033.8,866.35,870.75,874.39,884.78,925.3,1099.4,1529.2,2196.8,1495.2,1499.2,1502.3,1511.7,1549,1710.8,2105.4,2737.8,1570.4,1574.8,1578.4,1588.8,1629.3,1803.4,2233.2,2900.8
168,85,85,85,85,85,85,85,75,160.05,160.18,160.53,161.06,162.11,165.28,177.6,202.8,10,10,10,10,10,10,10,0,85.053,85.176,85.528,86.056,87.112,90.28,102.6,127.8,791.18,795.22,798.34,807.67,845.02,1006.8,1411.4,1401.4,866.35,870.75,874.39,884.78,925.3,1099.4,1539.2,1564.4,1495.2,1499.2,1502.3,1511.7,1549,1710.8,2115.4,2105.4,1570.4,1574.8,1578.4,1588.8,1629.3,1803.4,2243.2,2268.4
169,150,162.18,168.4,177.74,196.41,252.43,470.27,1092.7,75,87.302,93.878,103.74,123.47,182.65,412.81,1070.4,75,87.178,93.402,102.74,121.41,177.43,395.27,1017.7,0,12.302,18.878,28.742,48.47,107.65,337.81,995.41,856.18,872.4,881.74,900.41,956.43,1174.3,1796.7,2419.1,781.3,797.88,807.74,827.47,886.65,1116.8,1774.4,2432,1560.2,1576.4,1585.7,1604.4,1660.4,1878.3,2500.7,3123.1,1485.3,1501.9,1511.7,1531.5,1590.7,1820.8,2478.4,3136
170,160,150,166.22,175.56,194.23,250.25,468.09,1090.5,85,75,91.576,101.44,121.17,180.35,410.51,1068.1,85,75,91.224,100.56,119.23,175.25,393.09,1015.5,10,0,16.576,26.44,46.168,105.35,335.51,993.11,866.18,860.22,879.56,898.23,954.25,1172.1,1794.5,2416.9,791.3,785.58,805.44,825.17,884.35,1114.5,1772.1,2429.7,1570.2,1564.2,1583.6,1602.2,1658.2,1876.1,2498.5,3120.9,1495.3,1489.6,1509.4,1529.2,1588.4,1818.5,2476.1,3133.7
171,160,160,150,169.34,188.01,244.02,461.86,1084.3,85,85,75,94.864,114.59,173.78,403.94,1061.5,85,85,75,94.336,113.01,169.02,386.86,1009.3,10,10,0,19.864,39.592,98.776,328.94,986.54,866.18,870.22,863.34,892.01,948.02,1165.9,1788.3,2410.7,791.3,795.58,788.86,818.59,877.78,1107.9,1765.5,2423.1,1570.2,1574.2,1567.3,1596,1652,1869.9,2492.3,3114.7,1495.3,1499.6,1492.9,1522.6,1581.8,1811.9,2469.5,3127.1
172,160,160,160,150,178.67,234.69,452.53,1074.9,85,85,85,75,104.73,163.91,394.07,1051.7,85,85,85,75,103.67,159.69,377.53,999.93,10,10,10,0,29.728,88.912,319.07,976.67,866.18,870.22,873.34,872.67,938.69,1156.5,1778.9,2401.3,791.3,795.58,798.86,798.73,867.91,1098.1,1755.7,2413.3,1570.2,1574.2,1577.3,1576.7,1642.7,1860.5,2482.9,3105.3,1495.3,1499.6,1502.9,1502.7,1571.9,1802.1,2459.7,3117.3
173,160,160,160,160,150,216.02,433.86,1056.3,85,85,85,85,75,144.18,374.34,1031.9,85,85,85,85,75,141.02,358.86,981.26,10,10,10,10,0,69.184,299.34,956.94,866.18,870.22,873.34,882.67,910.02,1137.9,1760.3,2382.7,791.3,795.58,798.86,808.73,838.18,1078.3,1735.9,2393.5,1570.2,1574.2,1577.3,1586.7,1614,1841.9,2464.3,3086.7,1495.3,1499.6,1502.9,1512.7,1542.2,1782.3,2439.9,3097.5
